project_class,local_file,source_split,rvlcdip_filename,label_id,source
letter,letter_0000.png,train,tnjb0008497.tif,0,rvlcdip
letter,letter_0001.png,train,0000308235.tif,0,rvlcdip
letter,letter_0002.png,train,509443632_509443634.tif,0,rvlcdip
letter,letter_0003.png,train,CTRSP-FILES014760-47.tif,0,rvlcdip
letter,letter_0004.png,train,tob08115.65.tif,0,rvlcdip
letter,letter_0005.png,train,501492772+-2772.tif,0,rvlcdip
letter,letter_0006.png,train,504614652_504614660.tif,0,rvlcdip
letter,letter_0007.png,train,508028274+-8277.tif,0,rvlcdip
letter,letter_0008.png,train,2020126058.tif,0,rvlcdip
letter,letter_0009.png,train,502367623.tif,0,rvlcdip
letter,letter_0010.png,train,2063195050.tif,0,rvlcdip
letter,letter_0011.png,train,519695114+-5119.tif,0,rvlcdip
letter,letter_0012.png,train,2041552757.tif,0,rvlcdip
letter,letter_0013.png,train,94004389.tif,0,rvlcdip
letter,letter_0014.png,train,522488159+-8160.tif,0,rvlcdip
letter,letter_0015.png,train,2073297293.tif,0,rvlcdip
letter,letter_0016.png,train,2079131531_1532.tif,0,rvlcdip
letter,letter_0017.png,train,504372363+-2363.tif,0,rvlcdip
letter,letter_0018.png,train,2060541122.tif,0,rvlcdip
letter,letter_0019.png,train,85675561.tif,0,rvlcdip
letter,letter_0020.png,train,50129710-9710.tif,0,rvlcdip
letter,letter_0021.png,train,501891308.tif,0,rvlcdip
letter,letter_0022.png,train,515732196+-2196.tif,0,rvlcdip
letter,letter_0023.png,train,507770172_507770173.tif,0,rvlcdip
letter,letter_0024.png,train,50133568-3568.tif,0,rvlcdip
letter,letter_0025.png,train,0060251772.tif,0,rvlcdip
letter,letter_0026.png,train,1004857877.tif,0,rvlcdip
letter,letter_0027.png,train,508112328+-2328.tif,0,rvlcdip
letter,letter_0028.png,train,12762180.tif,0,rvlcdip
letter,letter_0029.png,train,1003198375.tif,0,rvlcdip
letter,letter_0030.png,train,85679292.tif,0,rvlcdip
letter,letter_0031.png,train,516924367_516924373.tif,0,rvlcdip
letter,letter_0032.png,train,500300163_500300166.tif,0,rvlcdip
letter,letter_0033.png,train,0060346741.tif,0,rvlcdip
letter,letter_0034.png,train,50178964-8964.tif,0,rvlcdip
letter,letter_0035.png,train,0071016226.tif,0,rvlcdip
letter,letter_0036.png,train,2026503840.tif,0,rvlcdip
letter,letter_0037.png,train,0060358365.tif,0,rvlcdip
letter,letter_0038.png,train,50101429-1429.tif,0,rvlcdip
letter,letter_0039.png,train,50480093-0093.tif,0,rvlcdip
